puid,x_coord_epsg4326,y_coord_epsg4326,species
140,122.3831575,-4.788385118,rabbitfish
141,121.442098,-4.74989483,rabbitfish
142,123.0496612,-4.786949447,rabbitfish
143,120.3554408,-4.876368341,rabbitfish
144,122.260333,-4.764493831,rabbitfish
145,120.6940357,-4.791740165,rabbitfish
146,122.8141289,-4.857421074,rabbitfish
147,121.4508854,-4.801629077,rabbitfish
148,121.6733979,-4.846969657,rabbitfish
149,120.5492453,-4.817009431,rabbitfish
150,122.0377115,-4.873358578,rabbitfish
151,122.2908528,-4.832853744,rabbitfish
152,120.7111772,-4.856967036,rabbitfish
153,121.5091953,-4.84550144,rabbitfish
154,122.1900744,-4.837491019,rabbitfish
155,122.2171174,-4.846568632,rabbitfish
156,123.0104964,-4.894643048,rabbitfish
157,120.5233506,-4.923302845,rabbitfish
158,122.2556717,-4.872177004,rabbitfish
159,122.2195364,-4.899341396,rabbitfish
160,121.542606,-4.899334306,rabbitfish
161,122.2927962,-4.896303361,rabbitfish
162,120.7291656,-4.92667068,rabbitfish
163,122.3294924,-4.940408144,rabbitfish
164,122.0842256,-4.923742334,rabbitfish
165,122.2054181,-4.947357695,rabbitfish
166,122.2651221,-4.929293427,rabbitfish
167,122.2981913,-4.931400771,rabbitfish
168,122.1471874,-4.959710302,rabbitfish
169,122.9761422,-4.995122058,rabbitfish
170,122.2681334,-4.965353537,rabbitfish
171,122.0432403,-4.959159471,rabbitfish
172,122.7033256,-5.002652275,rabbitfish
173,120.3977775,-4.947762999,rabbitfish
174,122.7978901,-4.975906006,rabbitfish
175,122.1696083,-4.97993612,rabbitfish
176,122.227084,-5.001154685,rabbitfish
177,122.165098,-5.014400409,rabbitfish
178,122.3141196,-5.009949417,rabbitfish
179,122.2707436,-5.025194948,rabbitfish
180,122.0883733,-5.022794657,rabbitfish
181,122.7636284,-5.028232822,rabbitfish
182,122.3673162,-5.034205062,rabbitfish
183,122.220115,-5.039763315,rabbitfish
184,122.3449418,-5.050078046,rabbitfish
185,122.1500375,-5.066138059,rabbitfish
186,122.6389836,-5.059894909,rabbitfish
187,122.0499601,-5.414718307,rabbitfish
188,122.3254911,-5.086763113,rabbitfish
189,122.047395,-5.077111129,rabbitfish
190,122.2155285,-5.084657528,rabbitfish
191,122.6068877,-5.136052407,rabbitfish
192,120.4204632,-5.130470306,rabbitfish
193,122.7243606,-5.101000741,rabbitfish
194,122.768413,-5.097958858,rabbitfish
195,122.2870271,-5.112268797,rabbitfish
196,122.9502331,-5.163379279,rabbitfish
197,123.1990107,-5.260096563,rabbitfish
198,122.277761,-5.145051014,rabbitfish
199,122.7435783,-5.168125305,rabbitfish
200,122.625715,-5.196438696,rabbitfish
201,122.795237,-5.202445735,rabbitfish
202,122.6125814,-5.251658068,rabbitfish
203,122.691497,-5.296471465,rabbitfish
204,123.6139451,-5.417839194,rabbitfish
205,124.3236191,-5.321376491,rabbitfish
206,120.4027073,-5.391450752,rabbitfish
207,122.402681,-5.360401512,rabbitfish
208,122.632949,-5.354310015,rabbitfish
209,121.844613,-5.356511682,rabbitfish
210,121.7442745,-5.359257014,rabbitfish
211,123.6764378,-5.391702946,rabbitfish
212,122.6314145,-5.425184258,rabbitfish
213,122.8923116,-5.471848627,rabbitfish
214,122.6021081,-5.456559799,rabbitfish
215,123.7183449,-5.474388511,rabbitfish
216,122.0300081,-5.507762584,rabbitfish
217,121.9650914,-5.480766521,rabbitfish
218,122.5020271,-5.534670498,rabbitfish
219,122.5607371,-5.513181741,rabbitfish
220,122.8783798,-5.576495037,rabbitfish
221,120.2865319,-5.560881707,rabbitfish
222,123.423811,-5.502448899,rabbitfish
223,120.4583144,-5.623739236,rabbitfish
224,119.8797562,-5.613390527,rabbitfish
225,122.5049787,-5.597743936,rabbitfish
226,122.5858176,-5.586432389,rabbitfish
227,122.5303587,-5.620400468,rabbitfish
228,122.4951777,-5.639766352,rabbitfish
229,122.7065908,-5.637791527,rabbitfish
230,120.4297146,-5.652994457,rabbitfish
231,124.04714,-5.653748287,rabbitfish
232,122.7521565,-5.672145447,rabbitfish
233,122.5867091,-5.65691879,rabbitfish
234,122.6128825,-5.657780689,rabbitfish
235,120.2741655,-5.673264855,rabbitfish
236,119.8267896,-5.672853749,rabbitfish
237,124.4931009,-5.718032057,rabbitfish
238,123.9095078,-5.768889203,rabbitfish
239,124.1664034,-5.73291649,rabbitfish
240,120.4847639,-5.748519745,rabbitfish
241,120.483689,-5.766182204,rabbitfish
242,123.9011619,-5.797199972,rabbitfish
243,120.4533111,-5.786180335,rabbitfish
244,120.204936,-5.792050698,rabbitfish
245,124.3359915,-5.801849075,rabbitfish
246,120.4438706,-5.85176827,rabbitfish
247,123.6326831,-5.823422511,rabbitfish
248,123.5568326,-5.618013041,rabbitfish
249,123.7292437,-5.847400987,rabbitfish
250,123.7778636,-5.872130075,rabbitfish
251,123.7293937,-5.907449994,rabbitfish
252,123.8009992,-5.908475334,rabbitfish
253,124.0701918,-5.970976158,rabbitfish
254,123.9664451,-5.932181923,rabbitfish
255,120.4394399,-6.006648339,rabbitfish
256,123.9988859,-5.982593987,rabbitfish
257,124.0428032,-6.016271014,rabbitfish
258,124.3352267,-6.045331159,rabbitfish
259,120.5405263,-5.922378601,rabbitfish
260,124.0686517,-6.034003732,rabbitfish
261,120.3068937,-6.070804871,rabbitfish
262,120.3449878,-6.086958351,rabbitfish
263,120.4304026,-6.265603127,rabbitfish
264,124.6054341,-6.124413534,rabbitfish
265,122.7040192,-6.200967288,rabbitfish
266,120.3844966,-6.295232643,rabbitfish
267,120.5416833,-6.253612004,rabbitfish
268,121.0979623,-6.406456212,rabbitfish
269,120.4955858,-6.464058159,rabbitfish
270,121.1122613,-6.46827691,rabbitfish
271,120.424418,-6.582899998,rabbitfish
272,120.4662382,-6.475413014,rabbitfish
273,121.0427549,-6.499531233,rabbitfish
274,120.9611765,-6.518943759,rabbitfish
275,121.229287,-6.526966706,rabbitfish
276,121.0678926,-6.565295817,rabbitfish
277,120.325575,-6.621204914,rabbitfish
278,120.9379424,-6.576287542,rabbitfish
279,121.1950259,-6.619663118,rabbitfish
280,121.2094406,-6.89298582,rabbitfish
281,120.9732818,-6.656667019,rabbitfish
282,120.9688794,-6.691112025,rabbitfish
283,120.9586764,-6.795913083,rabbitfish
284,120.7727112,-6.856752028,rabbitfish
285,121.2716159,-6.807334326,rabbitfish
286,121.3016087,-6.890548658,rabbitfish
287,121.1158831,-6.907730229,rabbitfish
288,121.265991,-6.906473632,rabbitfish
289,122.2293341,-6.904249334,rabbitfish
290,120.7732193,-6.950395219,rabbitfish
291,120.4445695,-6.957628845,rabbitfish
292,120.7233468,-6.972273462,rabbitfish
293,120.4951386,-6.985844891,rabbitfish
294,121.2718453,-6.980204673,rabbitfish
295,121.2179006,-7.005663721,rabbitfish
296,120.7244281,-7.024882056,rabbitfish
297,120.756861,-7.019561584,rabbitfish
298,120.5995512,-7.035354986,rabbitfish
299,121.1871053,-7.023912809,rabbitfish
300,121.3274632,-7.0152913,rabbitfish
301,121.0541673,-7.025202955,rabbitfish
302,120.4966096,-7.049876076,rabbitfish
303,121.1242859,-7.056205044,rabbitfish
304,120.4203004,-7.11249434,rabbitfish
305,120.4577432,-7.126482639,rabbitfish
306,121.5250868,-7.22960436,rabbitfish
307,120.5636329,-7.206134952,rabbitfish
308,120.9469647,-7.323382349,rabbitfish
309,121.767737,-7.355692912,rabbitfish
310,121.1158175,-7.312555838,rabbitfish
311,122.0935686,-7.425129308,rabbitfish
312,121.420339,-7.456875781,rabbitfish
313,121.7630499,-7.487466591,rabbitfish
314,121.1982093,-7.515207678,rabbitfish
315,123.5902307,-7.79040961,rabbitfish
316,121.2320796,-6.457268226,rabbitfish
317,121.2848841,-6.495359273,rabbitfish
318,121.0329631,-6.636206496,rabbitfish
319,121.0677904,-6.688828227,rabbitfish
320,121.0696881,-6.798680427,rabbitfish
321,121.134272,-6.749656938,rabbitfish
322,121.1620391,-6.770857545,rabbitfish
323,121.1952703,-6.79781919,rabbitfish
324,121.144353,-6.853465759,rabbitfish
325,121.2277433,-6.842771747,rabbitfish
326,121.2258801,-6.711269747,rabbitfish
327,120.9811603,-6.91927495,rabbitfish
328,121.4853882,-7.177372133,rabbitfish
329,121.6091643,-7.22383014,rabbitfish
330,121.7225693,-7.247331877,rabbitfish
331,121.7425176,-7.290474916,rabbitfish
332,121.6654383,-7.30828698,rabbitfish
333,121.5926801,-7.275474955,rabbitfish
334,121.8349051,-7.356578126,rabbitfish
335,121.7863212,-7.416480948,rabbitfish
336,121.1512066,-7.37008042,rabbitfish
337,121.0713971,-7.38509319,rabbitfish
338,120.8263872,-7.284134716,rabbitfish
339,121.0275752,-7.306055495,rabbitfish
340,120.8064906,-6.803099426,rabbitfish
341,120.7781122,-6.794136125,rabbitfish
342,120.803106,-6.863284297,rabbitfish
343,120.7364131,-7.057752556,rabbitfish
344,120.7403646,-7.121919368,rabbitfish
345,120.6147425,-7.109952404,rabbitfish
346,124.0154342,-5.898962057,rabbitfish
347,123.8590134,-5.881886181,rabbitfish
348,123.8451246,-5.815568085,rabbitfish
349,123.9025444,-5.836792154,rabbitfish
350,123.9869678,-5.74341964,rabbitfish
351,123.973647,-5.778212101,rabbitfish
